,congOrgs,match
13407,SPDR S&P 600 Small Cap Value Fund,"('SPDR S&P 600 Small Cap Value ETF', 94)"
13408,SPDR Dow Jones Ind Avg,
13409,OM Group Inc,"('OM Group Inc', 100)"
13410,Kimball Intl Inc,
13411,Kimbal International,"('Kimball International Inc', 95)"
13412,JP Morgan Chase & Co 1/13 call 35,
13413,Hawaian Holdings Inc,"('Hawaiian Holdings Inc.', 95)"
13414,Geneco Shipping & Trading,"('Genco Shipping & Trading Ltd', 96)"
13415,Genco Shipping & Trdg,"('Genco Shipping & Trading Ltd', 95)"
13416,First Eagle Oversea Fund,
13417,DuPont E I Nemour Co,
13418,Charming Shoppes 1.125 5/14,
13419,Airtran Holdings 7.0 7/23,
13420,Oklahoma State Capital Bond,
13421,TXI Capital Trust I Preferred,
13422,Fairfax Financial Holdings,"('Fairfax Financial Holdings Ltd', 100)"
13423,Schwab Cash Reserves Money Market,
13424,UST International,
13425,streetTRACKS DJ Wilshire Small Cap Fund,
13426,Puerto Rico Public Var Bond,
13427,Oberweis Micro Cap Fund,
13428,HAS Bank,
13429,Kentucky Asset/Liab 5% 7/15/06,
13430,Energy Partners Ltd,"('May Energy Partners Ltd', 100)"
13431,Clusnein,
13432,Tweedy Browne Value Fund,
13433,SunAmerica Blue Chip Growth Fund,
13434,Spartan US Equity Index,
13435,Tweedy Browne American Value Fund,
13436,Fidelity Spartan US Equity Index,
13437,AIG SunAmerica Blue Chip Growth Fund,
13438,Jefferson-Pilot Financial Insurance,
13439,PIMCO Small Cap Fund,
13440,PERS Diversified Fund,
13441,PERS Blue Chip Growth,
13442,AIG VALIC SunAmerica,
13443,AIG SunAmerica Mutual Funds Blue Chip,
13444,AIG Sun America Blue Chip Fund,
13445,Browne Global Fund,
13446,PERS Fidelity Investments Spartan US,
13447,PERS Fidelity Investments Allnz NFJ,
13448,ND Teachers Fund for Retirement,
13449,Sun America Focused Larege Cap Growth Fd,
13450,Fidelity Diversified,
13451,Fidelity Blue Chip Fund,
13452,Allianz NFJ Small Fund,
13453,SunAmerica Mutual Funds Focused Lg-Cap,
13454,Lincoln Financial Gap,
13455,People's Bank/Checking,
13456,Merrill Lynch Bank IRA (Cash),
13457,Sentinel Sustainable Core Opportunities,
13458,Vanguard Total International Stock Index,"('Vanguard Total International Stock ETF', 92)"
13459,Vanguard Tax Managed Small Cap Fund,
13460,Vanguard Strategic Equity Fund,
13461,Vanguard Selected Value Fund,
13462,People's Bank/Savings,
13463,Northwest Indiana Bancorp,"('Northeast Indiana Bancorp Inc', 96)"
13464,Mutual Quest Fund,
13465,Dept of Labor Credit Union,
13466,Sentinel Sustainable Growth,
13467,Bank of America Savings & Checking,
13468,People's United Bank/Checking,
13469,Vanguard Tax-Managed Small Cap Fund,
13470,People's United Bank/Savings,
13471,Mutual Qualified Fund,
13472,People's Bank Savings Account,
13473,People's Bank Checking Account,
13474,Dept of Labor Credit Union/Reward Checking,
13475,Vanguard Total International Stock Fund,"('Vanguard Total International Stock ETF', 95)"
13476,Consolidated Tomoka Land Co,"('Consolidated Tomoka-Land Co.', 96)"
13477,Indiana Transp Fin Auth Hwy Outstd Bond,
13478,Indiana Transp Fin Auth Hwy Etm Bond,
13479,"Department of Labor Credit Union/Reward 
Checking",
13480,Merrill Lynch Bank - IRA (Cash),
13481,Dept of Labor Credit Union/Reward Check,
13482,Treasury Strips,
13483,Peoples Bank/Savings,
13484,Tran Fin at Hwy Outstd,
13485,Tran Fin at Hwy Etm,
13486,Tiger Principal Series 23,
13487,Morgan Growth Fund Investment,
13488,Sentinel Sustainable Growth Oppty,
13489,Vanguard Wellington Fund Investment,
13490,Vanguard Tax Managed Small CAP,
13491,Sentinel Sustainable Growth Opport Fund,
13492,Government Employees Credit Union,
13493,Bank of the West,
13494,West Star Bank,
13495,Fidelity Equity Income II Fund,
13496,Huntington National Bank account,
13497,National City Bank account,
13498,KeyBank account,
13499,US Treasury Bonds & Notes,
13500,Refcorp Zero,
13501,ING MFS Total Return Portfolio,
13502,Fidelity VIP Growth Portfolio Init,
13503,Fidelity Asset Manager 50% Fund,
13504,T Rowe Price Diverse Mid Cap Growth Fund,
13505,ING Index Plus Mid Cap Port,
13506,Farmers & Merchants State Bank account,
13507,PNC Bank/Account,
13508,First Federal Bank account,
13509,Treasury Bonds & Notes,
13510,ING MFS Total Return Portfolio SVC,
13511,Farmers & Merchants State Bank,
13512,ING TRowePrice Divrsd MdCp Gr Pt I,
13513,ING Index Plus MidCap Portfolio I,
13514,Fidelity Freedom 2025 Fund,
13515,T Rowe Price Divers Mid Cap Growth Fund,
13516,ING VP Index Plus MidCap Portfolio,
13517,PNC Bank bank account,
13518,Fidelity VIP Growth Portfolio I,
13519,ING TRowePrc Divrsd Mid Cap Growth Fund,
13520,ING Index Plus Mid Cap Portfolio,
13521,First Federal Bank,"('First Federal Bankshares Inc', 100)"
13522,T-C Lifecycle 2020 Rtmt,
13523,ING Index Plus MidCap Portfolio,
13524,Farmers & Merchants Bancorp,"('Farmers & Merchants Bancorp', 100)"
13525,KeyBank/CD,
13526,Huntington National Bank dda,
13527,ING VP Index Plus MidCap Port,
13528,ING T Rowe Price Diver Mid Cap,
13529,Huntington National Bank money market,
13530,Fidelity Equity Dividend Income Fund formerly Fide,
13531,Equity Income II Fund,
13532,Voya Invesco Equity & Income Portfolio,
13533,Voya Index Plus MidCap Portfolio,
13534,Fidelity Spartan 500 Index,
13535,Fidelity NASDAQ Composite Index,
13536,Voya Trowe Price Divr MdCp Gr Pt I,
13537,PNC Bank Account,
13538,ING T rowe Price Divrsd MdCp Gr Fund,
13539,"Ohio Public Employees Retirement system-deferred
b",
13540,"Ohio Public Employees Retirement system-deferreed
",
13541,Voya Invesco Equity & Inc Port I,
13542,Voya Index Plus Mid Cap Porfolio I,
13543,Fidelity Nasdaq Composite Index,"('Fidelity Nasdaq Composite Index Tracking Stock', 100)"
13544,Voya T Rowe Price Divr MidCap Gr Pt I,
13545,Investment Entrepreneurs LLC,
13546,"645-47 W Liberty Street/Sumter, SC",
13547,South Carolina State Credit Union,
13548,Fort Jackson Federal Credit Union,
13549,"645-47 West Liberty Street/Sumter, SC",
13550,Scana Corp,
13551,645-47 W Liberty St,
13552,South Carolina Credit Union League,
13553,Wells Fargo Adv Small Cap Value Fund,
13554,Lazard Emerging Markets Fund,
13555,Hartford Growth Opportunities Fund,
13556,"645-47 West Liberty St/Sumter, SC",
13557,"645-47 W Liberty St/Sumter, SC",
13558,Wells Fargo Advanced Small Cap Value Fd,
13559,Cullen High Dividend Equity Fund,
13560,Allianz NFJ International Value Fund,
13561,Lazard Emerging Markets Equity Fund,
13562,Bank of America IRA/Cash,
13563,Tempelton Developing Markets Trust,
13564,Neuberger Berman Genesis Trust Fund,
13565,Matthews Asia Pacific Fund,
13566,Franklin Small Cap Growth Fund,
13567,DWS Dreman High Return Equity Fund,
13568,Columbia Marisco Focused Equity Fund,
13569,Victory Diversified Stock Fund,
13570,Federated Kaufmann Small Cap Fund,
13571,Eaton Vance Emerging Markets Fund,
13572,Merrill Lynch (not self-directed),
13573,"Family summer home/Prescott, AZ",
13574,Arizona State Retirement Fund,
13575,Alliance Technology Fund,
13576,Family summer home,
13577,NFP Securities Cinti Financial,
13578,Cinti Financial,
13579,NFP Securities Prime Fund Daily Money,
13580,Franklin Savings & Checking,
13581,Victory Established Value Fund,
13582,Ultra Stock Fund,
13583,Heritage Stock Fund,
13584,Growth Stock Fund,
13585,CREF Equity Index,
13586,Cincinnati Financial Co,"('Cincinnati Financial Corp', 100)"
13587,Cincinnati Financial,"('Cincinnati Financial Corp', 100)"
13588,Franklin/Savings & Checking,
13589,Victory Small CO OPPT Fund,
13590,TIAA-CREF CREF Social Choice,"('TIAA-CREF', 100)"
13591,TIAA-CREF CREF Growth,"('TIAA-CREF', 100)"
13592,TIAA-CREF CREF Equity Index,"('TIAA-CREF', 100)"
13593,NFP Securities Cincinnati Financial,
13594,Victory Small Co Opportunity Fund,
13595,TIAA-CREF Annuities CREF Stock,"('TIAA-CREF', 100)"
13596,Growth Fund Stock,
13597,"Farmland/Conejos & Costilla Counties, CO",
13598,Spudseed.com,
13599,First Community Bank Colorado,
13600,1187 acres Farmland/Conejos & Costilla,
13601,Farmland/1217 acres/Conejos & Costill,
13602,Sale of Salazar Trading Post Building,
13603,Wright Pat FCU,
13604,Family Trust,
13605,Bank of Florida,"('Bank of Florida Corp', 100)"
13606,Resolution Trust,
13607,Trinity Asset Holdings,
13608,Direct Mail Systems Inc,
13609,Wachovia money market,
13610,Proctor & Gamble Market,
13611,Alamo Storage Partners,
13612,Synovus Financial Corp,"('Synovus Financial Corp.', 100)"
13613,National Life Insurance Co,"('Republic National Life Insurance Co', 100)"
13614,Challen Partners Ltd,
13615,High Quality Dividend Yield,
13616,ETF Inc Growth Sector,
13617,BCP Cove Fund,
13618,Alachua County FL Health Facilities Bond,
13619,Everbank Money Market Account,
13620,Wachovia(now Wells Fargo) money market,
13621,National Life Insurance,"('Republic National Life Insurance Co', 100)"
13622,Trinity Fund Ltd,
13623,Resolution Trust FDG,
13624,"Donaldson, Lufkin & Jenrette Alliance",
13625,Deferred Compensation Retirement,
13626,IMPAC Manufacturing Holdings,
13627,Bankshares Florida,
13628,Credit Suisse Bond Investment,
13629,401k Retirement,
13630,IMPAC Meeting Holdings,
13631,Riverside Group,"('Riverside Group Inc', 100)"
13632,Synovus Financial,"('Synovus Financial Corp.', 100)"
13633,Merrill Lynch & Co/Account,
13634,Wachovia(now Wells Fargo) money market a,
13635,Challen Partners,
13636,Wacovia Money Market,
13637,Direct Mail Systems,
13638,Resolution Trust Funding,
13639,Bank of Florida/Money Market Account,
13640,Wells Fargo/Money market,
13641,Health Facilities A Ref Bonds 2012,
13642,Cook County Pension Fund,
13643,Cook County Pension (not self directed),
13644,College Illinois 529 Plan,
13645,Cook County Pension,
13646,457b Deferred Compensation Plan,
13647,"Rental Property/Burlington, VT",
13648,VALIC Fixed Income,
13649,"TIAA Global Equities, Stocks, Growth",
13650,CREF Fixed Income Bonds,
13651,Chittenden Bank IRA,
13652,VALIC Large Mid Small Cap Fund,
13653,VALIC Hybrid,
13654,TIAA Personal Annuity Fixed Account,
13655,CREF Social Choice Multi Asset,
13656,"Condominium/Burlington, VT",
13657,TIAA Guaranteed Traditional IRA,
13658,North Country Federal Credit Union IRA,
13659,"CREF Equities Stock, Growth, Global",
13660,CREF Multi-Asset,
13661,VALIC Stocks & Bonds,
13662,TIAA-CREF Traditional Fund,"('TIAA-CREF', 100)"
13663,North Country FCA,
13664,Cref Social Choice,
13665,CREF Inflation-Linked Bond Fund,
13666,Cref Growth,
13667,Cref Global Equities,
13668,Tiaa Guatanteed Traditional,
13669,TIAA CREF Equities,
13670,Valic Small Cap Fund,
13671,Valic Socially Resp Fund,
13672,Valic Mid Cap Index Fund,
13673,Valic Asset Alloc Fund,
13674,CREF Growth Account,
13675,Vanguard Lt Treasury,
13676,Vanguard Lt Inv Grade,
13677,Vanguard Long-Term Treasury Fund,
13678,Vanguard LifeStrategy Moderate Growth Fund,
13679,Vanguard LifeStrategy Growth Fund,
13680,Vanguard Li Fmod,
13681,Vanguard Li Fgro,
13682,Valic Strategic Bond Fund,
13683,Valic Stock Fund,
13684,Valic Social Awareness Fund,
13685,Valic Science & Tech Fund,
13686,Valic Mod Growth Fund,
13687,Valic International Equities Fund,
13688,Valic Govt Securities Fund,
13689,Valic Dividend Value Fund,
13690,Valic Core Equity Fund,
13691,Valic Aggressive Growth Fund,
13692,TIAA Personal Annuity Stock Account,
13693,TIAA Personal Annuity Award Fixed,
13694,Tiaa Personal Annuity Account,
13695,TIAA Access Mid-Cap Growth,
13696,CREF Social Choice Account,
13697,Cref Fixed Income,
13698,CREF Bond Market Account,
13699,Valic Money Market Fund,
13700,Valic International Govt Bond Fund,
13701,CREF Inflation-Linked Bond Account,
13702,Valic Hybrid Fund,
13703,Tiaa-Cert Equities,
13704,TIAA Traditional Guaranteed Annuity,
13705,People's United/IRA Cash Account,
13706,Valic Mid Cap Fund,
13707,Valic Large Cap Fund,
13708,Tiaa Personal Annuity Award Fixed,
13709,Valic Global International,
13710,Valic Special,
13711,CREF Equity Index Account,
13712,TIAA-CREF Equities,"('TIAA-CREF', 100)"
13713,People's United IRA Cash Account,
13714,TIAA Personal Annuity Stock Index,
13715,TIAA Personal Annuity - Fixed Account,
13716,People's United Bank IRA,
13717,CREF Fixed Income,
13718,TIAA Personal Annuity,
13719,North Country Federal Credit Union,
13720,US Senate FCU Checking,
13721,People's United Bank,
13722,Vanguard Long-Term Corporate Bond Index,
13723,Teachers Personal Annuity Fixed Account,
13724,North County Federal Credit Union,
13725,Bright Start 529 College Fund,
13726,Washington Mutual Investor Fund,
13727,Franklin Strategic Biotechnology,
13728,American Funds High Income Trust Fund,
13729,Wells Fargo Cash,
13730,Putnam Equity Income Fund,
13731,Northwestern Mutual Money Mkt Deposit held at,
13732,Devon Bank Checking,
13733,United of Omaha Mutual Life Congressional Federal,
13734,Private Bank/Checking,
13735,Calamos Global Growth & Income,
13736,AIM Tax Exempt Funds,
13737,Thornburg Investment Trust,
13738,Putnam College Advantage 2001,
13739,Putnam International Mutual Fund,
13740,Putnam College Advantage 2000,
13741,Putnam College Advantage 1998,
13742,Oppenheimer Advantage Primary Liquid Fnd,
13743,Northwestern Mutual Money Market,
13744,Fundamental Investors Inc,
13745,Calamos Investment,
13746,American High Interest Trust,
13747,Thornburg Mortgage Inc REIT,
13748,Morgan Stanley Dean Witter Tax Exempt,"('Morgan Stanley', 100)"
13749,AG Edwards Deposit Program,
13750,Bright Start College Fund,
13751,Amcap Fund Inc,
13752,Fundamental Investors,
13753,Franklin Strategic Services,
13754,American High Income Trust Class,
13755,United of Omaha Life,
13756,Putnam Equity Inc,
13757,Private Bank of Chicago Checking,
13758,Northwestern Mutual,"('Northwestern Mutual Life Mortgage', 100)"
13759,Money Market (Deposit held at Dreyfus Inc),
13760,International Bond Fund of America,
13761,Hartford Mutual Midcap Fund,
13762,Deson Bank Checking,
13763,Calemos Investment Global Growth & Income,
13764,Amcap Fund,
13765,Franklin Strategie Services Biotechnology,
13766,Hartford Mutual Funds Midcap Fund Class,
13767,Calamas Investment Global Growth & Income,
13768,Private Bank Chicago Checking,
13769,Blackrock College Advantage 1998,
13770,Blackrock College Advantage 2001,
13771,Devon Bank/Checking,
13772,Calamos Global Growth & Income Fund,
13773,Blackrock College Advantage 2000,
13774,Thornburg Investment Trust Value Fund,
13775,Putman College Advantage 2001,
13776,Putnam International Equity Fund,
13777,Putman College Advantage 2000,
13778,Putman College Advantage 1998,
13779,Dean Witter Tax Exempt Securities Trust,
13780,Putnam International Mutual Funds,
13781,Oppenheimer Primary Liquidity Fund,
13782,MFS Series Trust,
13783,La Salle Bank/Checking,
13784,Calamos Investments,
13785,Morgan Stanley Tax Exempt Securities,"('Morgan Stanley', 100)"
13786,Oppenheimer Advantage,
13787,MMI Bank/Checking,
13788,Intermediate Bond Fund,
13789,Wells Fargo/Cash,
13790,Northwestern Mutual/Money Market,
13791,Calamos Investments Global,
13792,"Milwaukee, WI Redev Auth Bond",
13793,Florida Real Estate,
13794,"Eau Claire, WI G/O Bonds",
13795,Financing Corp Cpn Strips,
13796,Wisconsin Bonds,
13797,Will County IL Cmnty USD Bonds,
13798,Will & Kendall Counties G/O Bond,"('Kendall Co', 100)"
13799,"Waupun, WI Sch Dist G/O Bonds",
13800,"Waterville, MN G/O Bond",
13801,"Valparaiso, IN Sewer Rev Bond",
13802,Tri-Creek 2002 High Bond,
13803,"St Paul, MN Cap Improvement G/O Bond",
13804,Southeast WI Pro Baseball Bond,
13805,Pine Grove PA Area Sch Dist GO School Bd,
13806,"Osakis, MN ISD 213 G/O Bonds",
13807,"Orono, MN Hsg & Redev Bond",
13808,"Oregon, WI School District G/O Bond",
13809,North Dakota Bldg Bond,
13810,"New York, NY G/O Bond",
13811,"Milwaukee County, WI Bond",
13812,"Menomonee Falls, WI G/O Bond",
13813,McHenry Cnty IL Cmnty G/O HSD Apprec Bnd,
13814,"Marysville, OH Wastewater Bond",
13815,Maple Grove MN G/O Bond,
13816,"Mankato, MN G/O Bond",
13817,"Lawrenceburg, IN School Building Bond",
13818,"Lake County, IN Pk Dist Bond",
13819,"Kenosha County, WI G/O Bonds",
13820,"Greenwood, In Sch Bldg Bond",
13821,"Greensburg, IN Sch Bldg Bond",
13822,"Green Bay, WI Met Sewer Dist G/O Sew Sys",
13823,"Green Bay, WI G/O Corp Purp Bonds",
13824,Greater Clark Cnty Sch Bldg Corp Ind Jef,
13825,"Fridley, MN SD 014 G/O Bond",
13826,"Freeborn County, MN G/O Bonds",
13827,"Farmington, MN Isd G/O Bonds",
13828,Evansville-Vandrburgh G/O Bonds,
13829,"Evanston, IL G/O Bonds",
13830,"Chicago, IL Brd Ed G/O Bonds",
13831,Cash & Money Market Fund Balances,
13832,Capital One Bank FSB Bonds,
13833,"Anderson, IN Sew Wks Rev Bonds",
13834,"Allen Park, MI Pub SD G/O Bonds",
13835,"Akron, OH G/O Bonds",
13836,Wisconsin G/O Bonds,
13837,"Warsaw, IN Multi-Sch Bldg Bond",
13838,"St Joseph County, IN Econ Bond",
13839,"St Francis, MN Isd G/O Bond",
13840,Puerto Rico Indl Med Rv Bond,
13841,"Olmsted County, MN G/O Bond",
13842,"Novi, MI Cmnty School G/O Bond",
13843,"Mukwonago, WI G/O Bond",
13844,"Marion County, IN Convtn Bond",
13845,"Mandan, ND G/O Bond",
13846,"Madison, WI Met Sch G/O Bond",
13847,JPMorgan Chase Bank Accounts,
13848,Hanover Multi School Bond,
13849,Guam Power Auth Rev Bonds,
13850,"Fond Du Lac, WI G/O FGIC Prom Bond",
13851,Cook & DuPage Counties Bond,
13852,"Chicago, IL Water Rev Bonds",
13853,"Chicago, IL Brd Ed Cap Bonds",
13854,"Bolingbrook, IL Spl Service Bonds",
13855,"Appleton, WI Area Sch Dist Ref G/O Bonds",
13856,Series HH/H US Savings Bonds,
13857,Lake Cnty IL Cmnty Go FGIC Cap Appr Bond,
13858,Wisconsin St Bonds,
13859,Wisconsin Health & Educ Facs Bond,
13860,"Will County, IL School District Bond",
13861,Southeast Wisconsin Pro Baseball Pk Bond,
13862,"Racine, Wis Waterworks Rev Wtr",
13863,"Osakis, MN Isd 213 G/O Bonds",
13864,Oregon WI School District G/O Bond,
13865,Olathe Kans Ser 215 G/O bond,
13866,New Richmond WI School District G/O Bond,
13867,Mukwonago WI G/O Bond,
13868,"Maple Grove, MN G/O Bond",
13869,Madison-Water Util Rev Bond,
13870,"Green Bay, WI Met Sewer Dist G/O Bond",
13871,"Bolingbrook, IL G/O ref Bonds",
13872,Allen Park MI Pub SD G/O Bonds,
13873,Wisconsin St Health & Edl Facs,
13874,Oak Creek Wis Ref G/O Bonds 2010,
13875,"Milwaukee County, WI Arpt Rev Bond",
13876,Illinois St G/O Bonds,
13877,"Grafton, WI Corp RFDG Purp Bond",
13878,Fond Du Lac WI G/O FGIC Prom nts Bond,
13879,Cook & Du Page Counties Bond,
13880,Chicago Ill G/O Bonds 2006A,
13881,Appleton Wis Storm Water Sys,
13882,Appleton WI Area Sch Dist Ref G/O Bonds,
13883,Lake Cnty Il Cmnty G/O FGIC Cap App HSD,
13884,Dane County Wis G/O Ref Bonds 2010,
13885,Tamarack Investment Funds Tax Free Fund,
13886,"Appleton, WI Area School Dist G/O Bond",
13887,WI St Health & Edl Facsauth RV Ars-Hosp,
13888,"Real Estate/Port St Lucie, FL",
13889,Kagen 4 Congress Cmte,
13890,"Chicago, IL Tax Increment Bond",
13891,"Milwaukee, WI Redev Rev Ambac Auth",
13892,Wisconsin G/o Refunding MBIA B/E Unltd,
13893,Will Cnty IL Cmnty USD #365 U VY View Ca,
13894,Waupun WI Sch Dist Go Ref B/E FGIC Unltd,
13895,Puerto Rico Comwlth G/O Unltd Tax Bond,
13896,"Osakis, MN ISD 213 GI I/Y UT Be Ref Bond",
13897,"New York, NY G/O Ser E O/Y Bond",
13898,Marion Cnty IN Convtn & Rectl Facs Auth,
13899,"Kenosha County, WI G/O AMBAC Ref Bond",
13900,Kane Cnty IL Sch Dist G/o 131 Aurora Eas,
13901,"Hudson, WI Wtr Sys Rev BD Antic Nts Bond",
13902,Guam Power Auth Rev \AMBAC-TCRS Bond,
13903,"Eau Claire, WI G/o Corp Purp Bond",
13904,"Chicago, IL Brd Ed G/O Cap App Sch Refrm",
