samples,ratio,partial_ratio,token_sort_ratio,partial_token_sort_ratio,token_set_ratio,UWRatio
comtech telecommunications,"('comtech telecommunications corp.', 91)","('comtech telecommunications corp.', 100)","('comtech telecommunications corp.', 91)",,"('comtech telecommunications corp.', 100)","('comtech telecommunications corp.', 95)"
columbia marisco focused equity fund,,"('columbia corp', 77)","('columbia equity trust inc', 66)","('equity au inc', 77)","('columbia corp', 76)",
pharmaceutical product,,,,,,
union pacific,"('union pacific corp', 84)","('union pacific corp', 100)","('union pacific corp', 84)","('union pacific corp', 100)","('union pacific corp', 100)","('union pacific corp', 95)"
genworth financial variable annuity plus,"('genworth financial inc', 68)","('genworth financial inc', 86)","('genworth financial inc', 65)","('genworth financial inc', 86)","('genworth financial inc', 90)","('allstate financial corp', 86)"
"house/westminster, sc",,,,,,
clearbridge dividend strategy fund,,,,,,
wisconsin transportation rev bonds,,,,,,
goldmark schlossman commercial,,,,,,
nationwide midcap market index,,,,,,
scholars choice savings account for dr,,,,,,
"lots chetola estates/blowing rock, nc",,,,,,
bank of america/assets,,,,,,
strut inc,,,,,,
"tullahoma, tn broadband network g/o bond",,,,,,
asml holdings,"('asml holding nv', 86)","('asml holding nv', 92)","('asml holding nv', 86)","('asml holding nv', 92)","('asml holding nv', 86)",
rental property/n 5327 de novels fund,,,,,,
newport beach calif ctfs,,,,,,
ishares s&p glbl index,,,,,,
meridian growth legacy fund,,,,,,
emerging markets equity fund,,,,,,
texas municipal power agency bond,,,,,,
edward jones ira,,,,,,
louisiana gas & fuels tax revenue bond,,,,,,
piper jaffrey prime obligations fund,"('piper jaffray companies', 58)",,,,,
pittsburgh plate glass,,,,,,
travis webb/20% interest,,,,,,
hotchkis & wiley core value fund,,,,,,
"gainesville, fl home",,,,,,
american century strategic alloc agrsv,,,,,,
short term bond fund of america,,,,,,
state of georgia retirement plan,,,,,,
marketbright inc,,,,,,
new perspective fund,,,,,,
salsaritas fresh cantina,,,,,,
sector sdpr energy,,,,,,
kulicke & soffa industries,"('kulicke and soffa industries inc', 86)","('kulicke and soffa industries inc', 88)","('kulicke and soffa industries inc', 86)","('kulicke and soffa industries inc', 100)","('kulicke and soffa industries inc', 100)","('kulicke and soffa industries inc', 95)"
friends provident,,,,,,
mfc short term government,,,,,,
talkington fed 21-26-tfh oil well interest,,,,,,
american funds - growth,,,,,,
texas dept hsg & cmnty bond,,,,,,
national financial services - wells,"('nationwide financial services inc.', 76)","('hamilton financial services', 85)","('westar financial services inc', 81)",,"('national medical financial services corp', 90)",
hartford capital appr r5,,,,,,
american funds global balanced,,,,,,
franklin el co,,,,,,
30 acres,,,,,,
"undeveloped real property/ocala, fl",,,,,,
federated mdt small cap growth institutional,,,,,,
san antonio tax electric & gas,,,,,,
alfa whole life policy beth,,,,,,
fidelity growth & income fund,,,,,,
indiana members credit union/savings,,,,,,
schwab health care fund,,,,,,
"undeveloped land/orange county, tx",,,,,,
cathay pacific airways,,,,,,
"oil & gas/calhoun co, wv",,,,,,
ubi interactive,,,,,,
llm partners,,,,,,
sewer/water system,,,,,,
ed plan ages 6-8 years portfolio fund,,,,,,
montavista software,,,,,,
shemano group brokerage account,,,,,,
tc lifecycle 2025-inst university system of md o,,,,,,
powershares emerging markets,,"('powershares emerging markets sovereign debt portfolio', 100)",,,,"('powershares emerging markets sovereign debt portfolio', 90)"
berkeley county sc sd sr a rv bond,,,,,,
money market fund ebt,,,"('morgan stanley emerging markets debt fund inc.', 64)",,,
portugal telecom sgps,,,,,,
bny mellon tax sensitive large cap multi srat fund,,,,,,
"bfh inv/11829 ampucia/las vegas, nv",,,,,,
southwestern iii da sew facs rv monsanto,,,,,,
wright express financial services/cd,,,,,,
tiqrx - tiaa-cref equity index r (nasdaq),,,,,,
wisdomtree intl mid cap dividend fund,,,,,,
putnam fltg rate income,,,,,,
argent financial dodge & cox intl,,,,,,
yield enhanced stif,,,,,,
quarts services,,,,,,
"lake travis, tx isd sch bldg bond",,,,,,
"chicago, il brd ed g/o cap app sch refrm",,,,,,
timeshare/royal dunes resort,,,,,,
a west bank,,,,,,
taro pharmaceutical industries,"('taro pharmaceutical industries ltd', 94)","('taro pharmaceutical industries ltd', 100)","('taro pharmaceutical industries ltd', 94)",,"('taro pharmaceutical industries ltd', 100)","('taro pharmaceutical industries ltd', 95)"
s&p 400 mid value index,,,,,,
sam graves farms/clark & tarkio twnships,,,,,,
ishares russell 2000 value index,"('ishares russell 2000 value etf', 90)","('ishares russell 2000 value etf', 90)","('ishares russell 2000 value etf', 90)",,"('ishares russell 2000 value etf', 93)","('ishares russell 2000 value etf', 90)"
"terrace falls condo/salt lake city, ut",,,,,"('falls city industries inc', 58)",
arizona bank & trust,,,,,,
candleglow apartments lp,,,,,,
arrowhead research corp,,,,,,
franklin income custodian fund,,,,,,
"hampton, va municipal bond",,,,,,
state of new mexico bond,,,,,,
new york st dorm auth revs non st suppor,,,,,,
ishares barclay's short tbond fund,,,,,,
midland property ltd,,,,,,
columbia multi-advisor small cap value,,,,,,
american funds amcap r5 (ticker raffx),,,,,,
sc st pub svc auth rev ser b 6.5 bond,,,,,,
t rowe price retirement 2030,,,,,,
morgan stanley arn spx 4-25-11,,,,,,
maryland coll invest plan portfolio 2021,,,,,,
individual retirement account,,,,,,
personal loan/s toomey (brother),,,,,,
ny's 529 college savings-grandchild 2- developed m,,,,,,
tx era plan 403(a),,,,,,
federal home loan bank security,,,,,,
sandlewood exploration,,,,,,
scarborough village llc,,,,,,
sti classic large cap quan equity fund,,,,,,
ca technologies,,,,,,
bny mellon intermediate bond fund,,,,,,
reliant energy,,,,,,
cardtronics inc,,,,,,
franklin templeton mutual quest fund,,,,,,
382% yohan-book,,,,,,
"folsom, ca pub fing auth rev bond",,,,,,
federated us treasury instl sh,,,,,,
philadelphia redevelopment authority,,,,,,
lmi aerospace,"('lmi aerospace inc', 87)","('lmi aerospace inc', 100)","('lmi aerospace inc', 87)",,"('lmi aerospace inc', 100)","('lmi aerospace inc', 95)"
ulta salon cosmetics & fragrance,,,,,,
wells fargo cap viii gtd tr pfd secs tr,,,,,,
fidelity ginnie mae fund,,,,,,
"los angeles, ca cmnty college dist bond",,,,,,
ishares msci usb,,,,,,
wisdomtree investments,"('wisdomtree investments inc', 92)","('wisdomtree investments inc', 100)","('wisdomtree investments inc', 92)","('wisdomtree investments inc', 100)","('wisdomtree investments inc', 100)","('wisdomtree investments inc', 95)"
maui land & pineapple co,"('maui land & pineapple co inc.', 92)","('maui land & pineapple co inc.', 100)","('maui land & pineapple co inc.', 92)","('maui land & pineapple co inc.', 95)","('maui land & pineapple co inc.', 100)","('maui land & pineapple co inc.', 95)"
alliance bernstein holdings,"('alliancebernstein holding lp', 91)","('alliancebernstein holding lp', 93)","('alliancebernstein holding lp', 91)","('alliancebernstein holding lp', 93)","('alliancebernstein holding lp', 91)","('alliancebernstein holding lp', 91)"
"cottage grove subdivision jackson, ms",,,,,,
davis new york venture,,,,,,
magnolia texas isd bonds,,,,,,
hewlett-packard,,,,,,
diamond hill focus long short fund,,,,,,
security benefit investments/guggenheim world equi,,,,,,
bgc partners,"('bgc partners inc', 86)","('bgc partners inc', 100)","('bgc partners inc', 86)",,"('bgc partners inc', 100)","('bgc partners inc', 95)"
canby oregon faarm residence,,,,,,
r pombo ranch ii,,,,,,
hutchison whampoa ltd,,,,,,
1st mid-illinois bank & trust certificat,,,,,,
citibank bank deposit money fund,,,,,,
sinopec shanghai petrochemical,"('sinopec shanghai petrochemical co ltd', 90)","('sinopec shanghai petrochemical co ltd', 100)","('sinopec shanghai petrochemical co ltd', 90)","('sinopec shanghai petrochemical co ltd', 100)","('sinopec shanghai petrochemical co ltd', 100)","('sinopec shanghai petrochemical co ltd', 95)"
charles river assoc,,,,,,
citibank cr card,,,,,,
amerifunds growth fund,,,,,,
john hancock 401k traditional account lifestyle tr,,,,,,
mainstay value fund,,,,,,
risch for lt governor cmte,,,,,,
whiting usa trust,,,,,,
gs private client portfolio,,,,,,
susser petroleum,,,,,,
5377 morgan oak,,,,,,
american river bank,,"('american river bankshares', 100)",,,,
providence core retirement plan,,,,,,
"kingdom enterprises, ltd/land blk e2 sec25 ab269",,,,,,
vanguard morgan growth,,,,,,
sabra healthcare reit,"('sabra health care reit inc', 89)","('sabra health care reit inc', 95)",,"('sabra health care reit inc', 86)",,"('sabra health care reit inc', 89)"
spring creek shopping center,,,,,,
palm beach cnty fl health facs auth bond,,,,,,
sentinel short maturity government fund,,,,,,
lvip ssga emerging markets 100 fund,,,,,,
ohio marysville exempt village sd go,,,,,,
oppenheimer global strategic income,,,,,,
capital group international equity fund,,,,,,
maingate mlp i,,,,,,
bank of the west/cd,,,,,,
"oiffice/817 ninth ave/menominee, mi 4",,,,,,
new hampshire retirement system,,,,,,
abmh management trust 1993,,,,,,
collegeinvest fund moderate age option,,,,,,
plata del norte,,,,,,
general money market,,,,,,
lot 24a,,,,,,
t rowe price growth stock fund#40,,,,,,
definitive guardian partners,,,,,,
dfa tax-managed us small-cap fund,,,,,,
missouri ii investors co,,,,,,
victory group,,,,,,
reed elsevier,,,,,,
columbia mo sch dist,,,,,,
energy east,"('energy east corp.', 81)","('energy east corp.', 100)","('energy east corp.', 81)","('energy east corp.', 100)","('energy east corp.', 100)","('energy east corp.', 95)"
lord abbett high yield fund,,,,,,
harding loevner funds emerging markets portfolio,,,,,,
"investment in house/wickenburg, az",,,,,,
personal loan to beatty for congress,,,,,,
morgan stanley retirement fund,,,,,,
first american equity index,,,,,,
tennessee hsg dev agy homeowner-ship bond,,,,,,
vanguard index fund mid cap,,,,,,
verizon virginia bond,,,,,,
pace high yield investments class p,,,,,,
matrix capital management co,,,,,,
van kampen hef comstock portfolio,,,,,,
jolly gardener products,,,,,,
morgan stanley - consulting group - small capital,,,,,,
(family investments llc) sedona vacant land,,,,,,
llco/landmark bank account,,,,,,
sif fixed interest account,,,,,,
tencent holdings,,,,,,
"prince william county, va pub impvt bond",,,,,,
pasadena calif uni sch d 1st fsa bond,,,,,,
van eck global fund,,,,,,
west virginia econ dev auth so bond,,,,,,
global/international stock,,,,,,
swiss franc,,,,,,
neuberger berman long short instl,,,,,,
legg mason capital management value,,,,,,
iowa fin auth private colleg rev bond,,,,,,
invesco value fund,,,,,,
jpmorgan market expansion enh idx select fund,,,,,,
vanguard inflation-protected security,,,,,,
barclays convertible sec,,,,,,
"rental property/brooklyn, ny",,,,,,
northwestern mutual whole life 90 life #2,,,,,,
am funds euro pac gr,,,,,,
team valley fcu,,,,,,
"lot 3 lc turner circle/bolton, ms",,,,,,
virginia retirement system target date 2,,,,,,
beebee draw/hambert properties,,,,,,
"hampshire st #9/portland, me",,,,,,
mainstay vp moderate growth allocation,,,,,,
eaton vance tax advantaged fund,"('eaton vance tax-advantaged dividend income fund', 79)",,"('eaton vance tax-advantaged dividend income fund', 79)","('eaton vance tax-advantaged dividend income fund', 74)","('eaton vance tax-advantaged dividend income fund', 100)",
yung tay engineer,,,,,,
first eagle fund of america,,,,,,
legg mason pennsylvania trust,,,,,,
"mortgage/naples, fl",,,,,,
steinberg inv partners/alerian capital,,,,,,
instinet group,"('instinet group inc', 88)","('instinet group inc', 100)","('instinet group inc', 88)",,"('instinet group inc', 100)","('instinet group inc', 95)"
gs vintage ii employee fund,,,,,,
phthisis diagnostics,,,,,,
pentagon federal credit union/savings,,,,,,
bp-base nordea 1-north america val,,,,,,
"vancouver, wa rev bond",,,,,,
bangor savings bank now account,,,,,,
russell 2000 small cap fund,,,,,,
alger mid cap growth fund,,,,,,
alps red rocks listed private equity fund,,,,,,
wells fargo wealthbuilder growth allocation,,,,,,
everbank savings,,,,,,
live sqrd inc,,,,,,
nissan motors,"('nissan motor co ltd', 75)",,"('nissan motor co ltd', 75)",,"('nissan motor co ltd', 75)",
t rowe price simplified profit-sharing m,,,,,,
state of new york g/o bond,,,,,,
new york ny fiscal bond,,,,,,
middleburg fin corp,"('middleburg financial corp', 86)",,"('middleburg financial corp', 86)",,"('middleburg financial corp', 88)",
eaton vance senior floating rate fund,,,,,,
chase growth fund,,,,,,
columbus circle large cap growth,,,,,,
bofa tax exempt reserves,,,,,,
lifecycle fund,,,,,,
"n2711 buckholz road/ettrick, wi",,,,,,
vision financial markets,,,,,,
"us senate federal cu(alexandria, va)/savings",,,,,,
mass investors trust fund,,,,,,
chevy chase bank/cd,"('chevy chase bank fsb', 87)","('chevy chase bank fsb', 89)","('chevy chase bank fsb', 82)","('chevy chase bank fsb', 84)","('chevy chase bank fsb', 91)","('chevy chase bank fsb', 87)"
s&p latin america,,,,,,
neighborhood diabetes inc,,,,,,
"sonrisas finished townhom lots, murrieta, ca",,,,,,
freedom realty inc,,,,,,
koninkiljke ahold,"('koninklijke ahold delhaize nv', 70)","('koninklijke ahold delhaize nv', 94)","('koninklijke ahold delhaize nv', 70)",,"('koninklijke ahold delhaize nv', 70)","('koninklijke ahold delhaize nv', 86)"
university revenues revenue bonds,,,,,,
high yield bond fund,,,,,,
cb richard ellis partners us iv llc,"('cb richard ellis services', 70)","('cb richard ellis services', 80)",,,"('cb richard ellis services', 78)",
harbor capitol appreciation inv,,,,,,
msif small company growth,,,,,,
cap opportunities m,,,,,,
leaders short term bond fund,,,,,,
golub capital partners vi lp,,,,,,
thc china development,,,,,,
ln vip mondrain intl value,,,,,,
penn state higher education bond,,,,,,
farm equipment,,,,,,
3ms partners,,,,,,
citibank cash reserves a/c 27 - closed,,,,,,
rolls-royce plc,,,,,,
note receivable/estate of annie blake,,,,,,
victor vy ca jt un high bond,,,,,,
easy bill ltd,,,,,,
kfcu accounts steven palazzo,,,,,,
s&p north amer natural res sector,"('spdr s&p north american natural resources etf', 74)","('spdr s&p north american natural resources etf', 85)","('spdr s&p north american natural resources etf', 74)","('spdr s&p north american natural resources etf', 76)","('spdr s&p north american natural resources etf', 74)",
jpmc st fixed income fund,,,,,,
stx inc,,,,,,
lewisville tex indpt sch dist go ref bond,,,,,,
mississippi valley credit,,,,,,
ishares dj us telecom,,,,,,
king county credit union,,,,,,
